,date,co,no2,o3,so2,pm2_5,pm10,nh3,AQI
0,2020-11-25 01:00:00,2.61688,70.6,13.59,38.62,364.61,411.73,28.63,446.1702409638554
1,2020-11-25 02:00:00,3.63159,89.11,0.33,54.36,420.96,486.21,41.04,468.5744578313253
2,2020-11-25 03:00:00,4.53949,100.08,1.11,68.67,463.68,541.95,49.14,485.55951807228917
3,2020-11-25 04:00:00,4.53949,111.04,6.44,78.2,454.81,534.0,48.13,482.03289156626505
4,2020-11-25 05:00:00,4.37927,117.9,17.17,87.74,448.14,529.19,46.61,479.38096385542167
5,2020-11-25 06:00:00,3.8986199999999998,117.9,40.05,101.09,437.25,511.79,42.05,475.05120481927713
6,2020-11-25 07:00:00,1.9493099999999999,105.56,83.69,185.01,312.76,349.2,12.79,425.5551807228916
7,2020-11-25 08:00:00,1.50871,112.41,87.98,217.44,275.53,303.47,6.59,410.752891566265
8,2020-11-25 09:00:00,1.36185,109.67,95.84,213.62,263.51,289.86,6.02,405.9738554216867
9,2020-11-25 10:00:00,1.60217,93.22,104.43,152.59,271.25,302.27,12.16,409.05120481927713
10,2020-11-25 11:00:00,2.13623,94.59,86.55,103.95,284.51,324.34,21.28,414.3232530120482
11,2020-11-25 12:00:00,2.5901799999999997,109.67,50.78,82.02,287.83,336.0,27.87,415.6432530120482
12,2020-11-25 13:00:00,3.01743,120.64,19.67,69.62,295.37,354.19,35.47,418.6410843373494
13,2020-11-25 14:00:00,3.47137,117.9,3.0,65.8,325.89,402.37,46.1,430.7755421686747
14,2020-11-25 15:00:00,3.8986199999999998,105.56,0.25,63.9,363.16,456.38,50.66,445.59373493975903
15,2020-11-25 16:00:00,4.05884,98.71,0.08,59.61,387.52,490.96,42.05,455.2790361445783
16,2020-11-25 17:00:00,3.8986199999999998,91.85,0.11,52.93,394.51,498.87,31.92,458.05819277108435
17,2020-11-25 18:00:00,3.41797,83.63,0.31,42.92,369.0,461.24,20.52,447.9156626506024
18,2020-11-25 19:00:00,2.8038000000000003,74.71,0.89,33.85,327.49,400.17,12.16,431.411686746988
19,2020-11-25 20:00:00,2.45667,65.8,1.4,30.99,303.81,365.32,9.63,421.99674698795184
20,2020-11-25 21:00:00,2.26975,58.26,1.39,30.52,285.16,340.62,8.74,414.58168674698794
21,2020-11-25 22:00:00,2.16293,53.47,0.83,30.99,272.18,320.68,7.92,409.4209638554217
22,2020-11-25 23:00:00,2.13623,49.35,0.31,31.47,264.01,305.06,7.09,406.17265060240965
